Location,Period,Life Expectancy,Birth Attended,Medical Doctor Available,Nurse and Midwife Available
Afghanistan,2019,63.21,56.1,2.78,1.62
Afghanistan,2015,61.65,43.55,2.722,1.76
Afghanistan,2010,59.94,24.3,1.913333333,5.246
Albania,2019,78,99.8,12.16,36.5
Albania,2010,76.25,99.55,12.12625,38.74333333
Algeria,2010,75.85,95.2,11.1,20.595
Angola,2010,58.07,47.3,0.965,11.495
Antigua and Barbuda,2010,75.95,99.86666667,11.205,32.98
Antigua and Barbuda,2000,74.56,99.9,1.61,31.19
Argentina,2019,76.58,96.15,40.01,25.91
Argentina,2015,76.17,98.3,39.39,42.46
Argentina,2010,75.44,98.07,32.17,4.65
Argentina,2000,74.09,99.1,28.325,16.71
Armenia,2015,74.51,100,28.95,51.796
Armenia,2010,73.12,99.45,26.277,51.241
Australia,2019,83.04,96.85,35.67,124.8
Australia,2015,82.28,99.4,33.694,114.4
Australia,2010,81.9,99.24,29.37142857,75.05142857
Australia,2000,79.69,99.3,25.31,5.99
Austria,2019,81.65,98.4,51.23,47.90333333
Austria,2015,80.98,98.52,49.68,69.01
Austria,2010,80.39,98.49,43.805,62.42
Austria,2000,78.17,98.3,34.60090909,49.42636364
Azerbaijan,2015,70.67,99.82,34.575,68.64
Azerbaijan,2010,69.03,96.01,36.099,81.741
Azerbaijan,2000,65.52,92.1,37.03272727,100.6554545
Bahamas,2015,72.92,98.725,23.08,40.55
Bahamas,2010,72.96,98.85714286,27.55,40.47
Bahamas,2000,70.94,99,10.74,45.53
Bahrain,2015,76.46,99.78,9.478,24.934
Bahrain,2010,74.52,97.92,10.14,27.19
Bahrain,2000,70.47,97.7,10.2,29.81
Bangladesh,2019,74.25,56.76666667,4.97,3.306666667
Bangladesh,2015,73.58,36.06666667,4.362,2.282
Bangladesh,2010,70.29,19.625,3.128888889,2.174285714
Barbados,2010,75.88,100,16.555,52.715
Barbados,2000,74.5,98,13.45,54.7
Belarus,2015,73.82,99.8,49.304,108.7
Belarus,2010,70.39,99.9,33.108,101.097
Belarus,2000,68.85,99.9,30.79,81.70909091
Belize,2015,74.05,93.13333333,8.555,1275.01
Belize,2010,73.39,93.78,7.66,18.11
Benin,2019,63.43,78.1,0.48,5.745
Benin,2015,61.96,79.05,1.36,5.623333333
Benin,2010,60.47,74,0.526666667,6.73
Bhutan,2019,73.11,94.13333333,4.06,16.73333333
Bhutan,2015,72.15,83.6,3.1175,12.4375
Bhutan,2010,71.01,59.41428571,2.19,8.726666667
Bolivia (Plurinational State of),2019,72.14,86.93333333,15.9,13.385
Bolivia (Plurinational State of),2015,71.52,78.775,4.67,9.6
Bolivia (Plurinational State of),2010,70.34,71.1,6.583333333,11.83333333
Bosnia and Herzegovina,2015,76.32,99.9,20.318,59.428
Bosnia and Herzegovina,2010,76.19,99.9,15.844,49.323
Bosnia and Herzegovina,2000,75.42,98.9,15.46333333,47.625
Botswana,2019,62.25,99.75,5.27,47.59
Botswana,2015,60.93,99.74,4.04,21.55333333
Botswana,2010,58.14,96.67,3.427,27.196
Botswana,2000,45.59,97.3,2.96,28.11666667
Brazil,2015,75.13,99.06,18.655,84.86666667
Brazil,2010,74.09,98.62,16.379,20.20111111
Brazil,2000,71.47,98.6,12.143,18.839
Brunei Darussalam,2015,74.4,99.8,15.904,73.49
Brunei Darussalam,2010,74.57,99.63,12.1625,56.385
Brunei Darussalam,2000,72.2,99.2,10.08,38.9
Bulgaria,2015,74.55,99.73333333,39.436,48.238
Bulgaria,2010,73.64,99.38,36.272,44.766
Bulgaria,2000,71.61,99.8,33.493,64.90454545
Burkina Faso,2015,60.92,79.8,0.498,5.348
Burkina Faso,2010,58.59,59.7,0.4425,4.5825
Burundi,2010,58.6,46.05,0.38,4.39
Cabo Verde,2015,74.88,94.5,6.2075,9.668
Cabo Verde,2010,74.12,79.23333333,5.545,10.605
Cambodia,2015,69.17,80.35,2.65,9.282
Cambodia,2010,67.22,43.7,2.373333333,8.516666667
Cameroon,2015,59.11,60.4,0.88,4.609
Cameroon,2010,56.58,58.9,0.924,6.476
Canada,2019,82.24,97.9,23.11,99.24333333
Central African Republic,2010,48.51,41.7,0.573333333,2.85
Chad,2015,57.91,24.3,0.445,2.8325
Chad,2010,55.65,16.6,0.35,2.19
Chile,2019,80.74,99.75,22.94,122.3333333
