Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
15,Northern Africa,2005,Students enrolled in primary education (thousands),23022.99,,United Nations Educational
15,Northern Africa,2005,Gross enrollment ratio - Primary (male),96.9346,,United Nations Educational
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),89.9283,,United Nations Educational
15,Northern Africa,2005,Students enrolled in secondary education (thousands),16897.2124,Estimate.,United Nations Educational
15,Northern Africa,2005,Gross enrollment ratio - Secondary (male),69.8168,Estimate.,United Nations Educational
15,Northern Africa,2005,Gross enrollment ratio - Secondary (female),68.9041,Estimate.,United Nations Educational
15,Northern Africa,2005,Students enrolled in tertiary education (thousands),4585.9478,,United Nations Educational
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (male),24.1102,,United Nations Educational
15,Northern Africa,2005,Gross enrollment ratio - Tertiary (female),23.2441,,United Nations Educational
15,Northern Africa,2010,Students enrolled in primary education (thousands),23597.7149,,United Nations Educational
15,Northern Africa,2010,Gross enrollment ratio - Primary (male),100.801,,United Nations Educational
15,Northern Africa,2010,Gross enrollment ratio - Primary (female),95.4895,,United Nations Educational
15,Northern Africa,2010,Students enrolled in secondary education (thousands),17398.6579,,United Nations Educational
15,Northern Africa,2010,Gross enrollment ratio - Secondary (male),71.9724,,United Nations Educational
15,Northern Africa,2010,Gross enrollment ratio - Secondary (female),70.347,,United Nations Educational
15,Northern Africa,2010,Students enrolled in tertiary education (thousands),5514.0766,,United Nations Educational
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (male),26.2268,,United Nations Educational
15,Northern Africa,2010,Gross enrollment ratio - Tertiary (female),28.1748,,United Nations Educational
15,Northern Africa,2014,Students enrolled in primary education (thousands),25161.9305,,United Nations Educational
15,Northern Africa,2014,Gross enrollment ratio - Primary (male),101.1054,,United Nations Educational
15,Northern Africa,2014,Gross enrollment ratio - Primary (female),97.8254,,United Nations Educational
15,Northern Africa,2014,Students enrolled in secondary education (thousands),18623.8085,,United Nations Educational
15,Northern Africa,2014,Gross enrollment ratio - Secondary (male),77.7209,,United Nations Educational
15,Northern Africa,2014,Gross enrollment ratio - Secondary (female),76.7317,,United Nations Educational
15,Northern Africa,2014,Students enrolled in tertiary education (thousands),5889.96,,United Nations Educational
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (male),28.1288,,United Nations Educational
15,Northern Africa,2014,Gross enrollment ratio - Tertiary (female),30.3103,,United Nations Educational
15,Northern Africa,2015,Students enrolled in primary education (thousands),25786.0226,Estimate.,United Nations Educational
15,Northern Africa,2015,Gross enrollment ratio - Primary (male),101.4662,Estimate.,United Nations Educational
15,Northern Africa,2015,Gross enrollment ratio - Primary (female),97.9952,Estimate.,United Nations Educational
15,Northern Africa,2015,Students enrolled in secondary education (thousands),18934.1031,Estimate.,United Nations Educational
15,Northern Africa,2015,Gross enrollment ratio - Secondary (male),78.6103,Estimate.,United Nations Educational
15,Northern Africa,2015,Gross enrollment ratio - Secondary (female),78.1702,Estimate.,United Nations Educational
15,Northern Africa,2015,Students enrolled in tertiary education (thousands),6358.292,,United Nations Educational
15,Northern Africa,2015,Gross enrollment ratio - Tertiary (male),30.0797,,United Nations Educational
15,Northern Africa,2015,Gross enrollment ratio - Tertiary (female),33.1289,,United Nations Educational
15,Northern Africa,2018,Students enrolled in primary education (thousands),28398.2506,,United Nations Educational
15,Northern Africa,2018,Gross enrollment ratio - Primary (male),102.6884,,United Nations Educational
15,Northern Africa,2018,Gross enrollment ratio - Primary (female),100.0948,,United Nations Educational
15,Northern Africa,2018,Students enrolled in secondary education (thousands),20102.2224,Estimate.,United Nations Educational
15,Northern Africa,2018,Gross enrollment ratio - Secondary (male),81.1671,Estimate.,United Nations Educational
15,Northern Africa,2018,Gross enrollment ratio - Secondary (female),81.2448,Estimate.,United Nations Educational
15,Northern Africa,2018,Students enrolled in tertiary education (thousands),6853.4869,Estimate.,United Nations Educational
