T08,Public expenditure on education (new),,,,
Region/Country/Area,,Year,Series,Value,Footnotes
4,Afghanistan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.3032,
4,Afghanistan,2010,All staff compensation as % of total expenditure in public institutions (%),72.3783,
4,Afghanistan,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3186,
4,Afghanistan,2010,Expenditure by level of education: primary (as % of government expenditure),62.1365,
4,Afghanistan,2010,Expenditure by level of education: secondary (as % of government expenditure),26.6937,
4,Afghanistan,2010,Expenditure by level of education: tertiary (as % of government expenditure),9.0322,
4,Afghanistan,2010,Government expenditure on education (% of government expenditure),17.0676,
4,Afghanistan,2010,Public expenditure on education (% of GDP),3.4795,
4,Afghanistan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.9602,
4,Afghanistan,2015,All staff compensation as % of total expenditure in public institutions (%),71.4471,
4,Afghanistan,2015,Capital expenditure as % of total expenditure in public institutions (%),19.5927,
4,Afghanistan,2015,Expenditure by level of education: primary (as % of government expenditure),56.6955,
4,Afghanistan,2015,Expenditure by level of education: secondary (as % of government expenditure),24.3563,
4,Afghanistan,2015,Expenditure by level of education: tertiary (as % of government expenditure),15.9538,
4,Afghanistan,2015,Government expenditure on education (% of government expenditure),12.509,
4,Afghanistan,2015,Public expenditure on education (% of GDP),3.2558,
4,Afghanistan,2017,Expenditure by level of education: primary (as % of government expenditure),44.1906,Estimate.
4,Afghanistan,2017,Expenditure by level of education: secondary (as % of government expenditure),22.2537,Estimate.
4,Afghanistan,2017,Government expenditure on education (% of government expenditure),15.6614,Estimate.
4,Afghanistan,2017,Public expenditure on education (% of GDP),4.0589,Estimate.
8,Albania,2005,Government expenditure on education (% of government expenditure),11.358,
8,Albania,2005,Public expenditure on education (% of GDP),3.2816,
8,Albania,2007,Government expenditure on education (% of government expenditure),11.1772,
8,Albania,2007,Public expenditure on education (% of GDP),3.2759,
8,Albania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.4627,
8,Albania,2015,All staff compensation as % of total expenditure in public institutions (%),79.4827,
8,Albania,2015,Capital expenditure as % of total expenditure in public institutions (%),8.0546,
8,Albania,2015,Expenditure by level of education: primary (as % of government expenditure),56.7669,
8,Albania,2015,Expenditure by level of education: secondary (as % of government expenditure),21.5817,
8,Albania,2015,Expenditure by level of education: tertiary (as % of government expenditure),21.156,
8,Albania,2015,Government expenditure on education (% of government expenditure),11.3177,
8,Albania,2015,Public expenditure on education (% of GDP),3.438,
8,Albania,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.9128,
8,Albania,2017,All staff compensation as % of total expenditure in public institutions (%),79.7877,
8,Albania,2017,Capital expenditure as % of total expenditure in public institutions (%),8.2995,
8,Albania,2017,Expenditure by level of education: primary (as % of government expenditure),57.6077,
8,Albania,2017,Expenditure by level of education: secondary (as % of government expenditure),21.5625,
8,Albania,2017,Expenditure by level of education: tertiary (as % of government expenditure),18.8501,
8,Albania,2017,Government expenditure on education (% of government expenditure),12.3908,
8,Albania,2017,Public expenditure on education (% of GDP),3.6103,
8,Albania,2018,Government expenditure on education (% of government expenditure),8.4355,Estimate.
8,Albania,2018,Public expenditure on education (% of GDP),2.4687,Estimate.
12,Algeria,2008,Expenditure by level of education: tertiary (as % of government expenditure),26.9726,
12,Algeria,2008,Government expenditure on education (% of government expenditure),11.4284,
12,Algeria,2008,Public expenditure on education (% of GDP),4.337,
16,American Samoa,2006,Capital expenditure as % of total expenditure in public institutions (%),6.2346,
16,American Samoa,2006,Expenditure by level of education: tertiary (as % of government expenditure),11.1848,
16,American Samoa,2006,Public expenditure on education (% of GDP),14.6293,
20,Andorra,2005,Expenditure by level of education: pre-primary (as % of government expenditure),16.87,
20,Andorra,2005,Expenditure by level of education: primary (as % of government expenditure),24.1359,
20,Andorra,2005,Expenditure by level of education: secondary (as % of government expenditure),20.6186,
20,Andorra,2005,Expenditure by level of education: tertiary (as % of government expenditure),3.8825,
20,Andorra,2005,Public expenditure on education (% of GDP),1.5965,
20,Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.9192,
20,Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.7439,
20,Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.6832,
20,Andorra,2010,Expenditure by level of education: pre-primary (as % of government expenditure),14.6094,
20,Andorra,2010,Expenditure by level of education: primary (as % of government expenditure),28.8952,
20,Andorra,2010,Expenditure by level of education: secondary (as % of government expenditure),20.9346,
20,Andorra,2010,Expenditure by level of education: tertiary (as % of government expenditure),3.8613,
20,Andorra,2010,Public expenditure on education (% of GDP),3.0574,
20,Andorra,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),59.3891,
20,Andorra,2013,All staff compensation as % of total expenditure in public institutions (%),40.0286,
