Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
1,Total,,,,,
15,Northern Africa,2005,Teachers at primary level (thousands),944.3133,Estimate.,United Nations Educational
15,Northern Africa,2005,Pupil-teacher ratio in primary education,24.3807,,United Nations Educational
15,Northern Africa,2005,Teachers at secondary level (thousands),993.0389,Estimate.,United Nations Educational
15,Northern Africa,2005,Pupil-teacher ratio in secondary education,17.0157,Estimate.,United Nations Educational
15,Northern Africa,2005,Teachers at tertiary level (thousands),172.5389,Estimate.,United Nations Educational
15,Northern Africa,2010,Teachers at primary level (thousands),971.5736,Estimate.,United Nations Educational
15,Northern Africa,2010,Pupil-teacher ratio in primary education,24.2881,,United Nations Educational
15,Northern Africa,2010,Teachers at secondary level (thousands),1161.7589,Estimate.,United Nations Educational
15,Northern Africa,2010,Pupil-teacher ratio in secondary education,14.9761,Estimate.,United Nations Educational
15,Northern Africa,2010,Teachers at tertiary level (thousands),209.4366,Estimate.,United Nations Educational
15,Northern Africa,2015,Teachers at primary level (thousands),1176.4578,Estimate.,United Nations Educational
15,Northern Africa,2015,Pupil-teacher ratio in primary education,21.9184,Estimate.,United Nations Educational
15,Northern Africa,2015,Teachers at secondary level (thousands),1204.9538,Estimate.,United Nations Educational
15,Northern Africa,2015,Pupil-teacher ratio in secondary education,15.7136,Estimate.,United Nations Educational
15,Northern Africa,2015,Teachers at tertiary level (thousands),258.113,Estimate.,United Nations Educational
15,Northern Africa,2018,Teachers at primary level (thousands),1247.539,Estimate.,United Nations Educational
15,Northern Africa,2018,Pupil-teacher ratio in primary education,22.7634,,United Nations Educational
15,Northern Africa,2018,Teachers at secondary level (thousands),1255.5899,,United Nations Educational
15,Northern Africa,2018,Pupil-teacher ratio in secondary education,16.0102,Estimate.,United Nations Educational
15,Northern Africa,2018,Teachers at tertiary level (thousands),269.9382,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2005,Teachers at primary level (thousands),2576.058,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in primary education,44.0129,,United Nations Educational
202,Sub-Saharan Africa,2005,Teachers at secondary level (thousands),1171.6319,,United Nations Educational
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in secondary education,27.363,,United Nations Educational
202,Sub-Saharan Africa,2005,Teachers at tertiary level (thousands),178.8135,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2010,Teachers at primary level (thousands),3167.7236,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in primary education,42.8995,,United Nations Educational
202,Sub-Saharan Africa,2010,Teachers at secondary level (thousands),1868.0655,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in secondary education,24.0426,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2010,Teachers at tertiary level (thousands),263.3559,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2015,Teachers at primary level (thousands),4070.1942,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in primary education,38.5041,,United Nations Educational
202,Sub-Saharan Africa,2015,Teachers at secondary level (thousands),2668.7223,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in secondary education,21.3136,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2015,Teachers at tertiary level (thousands),347.8077,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2016,Teachers at primary level (thousands),4167.1286,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in primary education,38.5167,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2016,Teachers at secondary level (thousands),2636.8618,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in secondary education,21.8634,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2016,Teachers at tertiary level (thousands),362.9451,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Teachers at primary level (thousands),4397.2026,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Pupil-teacher ratio in primary education,38.3529,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Teachers at secondary level (thousands),2781.7638,Estimate.,United Nations Educational
202,Sub-Saharan Africa,2018,Pupil-teacher ratio in secondary education,22.0068,Estimate.,United Nations Educational
21,Northern America,2005,Teachers at primary level (thousands),1864.5455,Estimate.,United Nations Educational
21,Northern America,2005,Pupil-teacher ratio in primary education,14.3516,,United Nations Educational
